Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
78,Anonymous,I love them so much.,,s? I would like to know. Has Anonymous perceive sensor? .  I have a dog and a cat.  I love them so much.  Do you have any pets? I would like to know. What types of Instance like pet do Instance usually have .  I have a dog and a cat. I am curious. What types can blenderbot have .  I love them so much.,  ,0.5929840803146362,0.5929840803146362,,,,,,,,,
79,BLENDERBOT,,Do you have any pets?,? I would like to know. Has Anonymous perceive sensor? .  I have a dog and a cat.  I love them so much.  Do you have any pets? I would like to know. What types of Instance like pet do Instance usually have .  I have a dog and a cat. I am curious. What types can blenderbot have .  I love them so much. , do  you  have  any  pets ,0.7993630647659302,0.9930996656417846,,,,,,,,,
80,Anonymous,Do you have any pets?,Exciting news! I had never heard about pet before! . ,. Has Anonymous perceive sensor? .  I have a dog and a cat.  I love them so much.  Do you have any pets? I would like to know. What types of Instance like pet do Instance usually have .  I have a dog and a cat. I am curious. What types can blenderbot have .  I love them so much.  Do you have any pets?,good ! i  have  never  thought  of  pets bot !  _ ,0.18420383825220846,0.4936795356598767,,,,,,,,,
81,BLENDERBOT,Exciting news! I had never heard about pet before! . ,I have a dog and a cat.,at.  I love them so much.  Do you have any pets? I would like to know. What types of Instance like pet do Instance usually have .  I have a dog and a cat. I am curious. What types can blenderbot have .  I love them so much.  Do you have any pets? Exciting news! I had never heard about pet before! . , i  have  a  dog  and  a  cat ,0.8553893651281085,0.9982340250696454,,,,,,,,,
82,Anonymous,I have a dog and a cat.,Let me ask you something. Has blenderbot be from location? . ,.  Do you have any pets? I would like to know. What types of Instance like pet do Instance usually have .  I have a dog and a cat. I am curious. What types can blenderbot have .  I love them so much.  Do you have any pets? Exciting news! I had never heard about pet before! .  I have a dog and a cat.," let  me  ask  you , can  it  moved  on  there !  _ ",0.33721141612234834,0.5445691309869289,,,,,,,,,
83,BLENDERBOT,Let me ask you something. Has blenderbot be from location? . ,I love them so much.,nstance like pet do Instance usually have .  I have a dog and a cat. I am curious. What types can blenderbot have .  I love them so much.  Do you have any pets? Exciting news! I had never heard about pet before! .  I have a dog and a cat. Let me ask you something. Has blenderbot be from location? . , i  love  them  so  much ,0.7713864803314209,0.9711514592170716,,,,,,,,,
84,Anonymous,I love them so much.,,nstance usually have .  I have a dog and a cat. I am curious. What types can blenderbot have .  I love them so much.  Do you have any pets? Exciting news! I had never heard about pet before! .  I have a dog and a cat. Let me ask you something. Has blenderbot be from location? .  I love them so much.,e ,0.09794352948665619,0.16540294885635376,,,,,,,,,
85,Anonymous,,Let's chat!,stance usually have .  I have a dog and a cat. I am curious. What types can blenderbot have .  I love them so much.  Do you have any pets? Exciting news! I had never heard about pet before! .  I have a dog and a cat. Let me ask you something. Has blenderbot be from location? .  I love them so much. , great  talk ,0.0,0.6086373627185822,,,,,,,,,
86,BLENDERBOT,Let's chat!,What do you like to do in your free time?,ly have .  I have a dog and a cat. I am curious. What types can blenderbot have .  I love them so much.  Do you have any pets? Exciting news! I had never heard about pet before! .  I have a dog and a cat. Let me ask you something. Has blenderbot be from location? .  I love them so much.  Let's chat!, what  do  you  like  to  do  in  your  spare  time ,0.7835673153400421,0.8991650164127349,,,,,,,,,
87,Anonymous,What do you like to do in your free time?,Let's chat!,rious. What types can blenderbot have .  I love them so much.  Do you have any pets? Exciting news! I had never heard about pet before! .  I have a dog and a cat. Let me ask you something. Has blenderbot be from location? .  I love them so much.  Let's chat! What do you like to do in your free time?, great  chat ,0.0,0.7751723527908325,,,,,,,,,
88,BLENDERBOT,Let's chat!,I like to play video games and watch movies.,types can blenderbot have .  I love them so much.  Do you have any pets? Exciting news! I had never heard about pet before! .  I have a dog and a cat. Let me ask you something. Has blenderbot be from location? .  I love them so much.  Let's chat! What do you like to do in your free time? Let's chat!, i  like  to  play  video  games  and  watch  tv ,0.8122540314992269,0.8436661627557542,,,,,,,,,
89,Anonymous,I like to play video games and watch movies.,,uch.  Do you have any pets? Exciting news! I had never heard about pet before! .  I have a dog and a cat. Let me ask you something. Has blenderbot be from location? .  I love them so much.  Let's chat! What do you like to do in your free time? Let's chat! I like to play video games and watch movies.,e ,0.08350181579589844,0.213251531124115,,,,,,,,,
90,BLENDERBOT,,Do you have any pets?,ch.  Do you have any pets? Exciting news! I had never heard about pet before! .  I have a dog and a cat. Let me ask you something. Has blenderbot be from location? .  I love them so much.  Let's chat! What do you like to do in your free time? Let's chat! I like to play video games and watch movies. , do  you  have  any  pets ,0.7916361570358277,0.9505973100662232,,,,,,,,,
91,Anonymous,Do you have any pets?,This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 . ,ets? Exciting news! I had never heard about pet before! .  I have a dog and a cat. Let me ask you something. Has blenderbot be from location? .  I love them so much.  Let's chat! What do you like to do in your free time? Let's chat! I like to play video games and watch movies.  Do you have any pets?, that  sounds  like they  told  me  about  it  on  aug  - s .   ,0.28344584309629034,0.41372230409511496,,,,,,,,,
92,BLENDERBOT,This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 . ,I have a dog and he 's my best friend.,a cat. Let me ask you something. Has blenderbot be from location? .  I love them so much.  Let's chat! What do you like to do in your free time? Let's chat! I like to play video games and watch movies.  Do you have any pets? This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 . , i  have  a  cat .  she  is  my  best  friend ,0.5503278367221356,0.8757203102111817,,,,,,,,,
93,Anonymous,I have a dog and he 's my best friend.,Exciting news! I had never heard about dog before! . ,enderbot be from location? .  I love them so much.  Let's chat! What do you like to do in your free time? Let's chat! I like to play video games and watch movies.  Do you have any pets? This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend.,good ! i  had  never  thought  of  this  therapy !   ,0.2517602140168575,0.5089794817295942,,,,,,,,,
94,BLENDERBOT,Exciting news! I had never heard about dog before! . ,Do you have any pets?,t's chat! What do you like to do in your free time? Let's chat! I like to play video games and watch movies.  Do you have any pets? This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. Exciting news! I had never heard about dog before! . , do  you  have  any  pets ,0.7956957936286926,0.9828643798828125,,,,,,,,,
95,Anonymous,Do you have any pets?,Let me ask you something. Has Anonymous ever like by a agent? . ,like to do in your free time? Let's chat! I like to play video games and watch movies.  Do you have any pets? This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. Exciting news! I had never heard about dog before! .  Do you have any pets?," let  me  ask  you ,  was  been  been  signed  being  an  dog    _ ",0.25752792237991734,0.5033904633351735,,,,,,,,,
96,BLENDERBOT,Let me ask you something. Has Anonymous ever like by a agent? . ,I have a dog and he 's my best friend.,games and watch movies.  Do you have any pets? This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. Exciting news! I had never heard about dog before! .  Do you have any pets? Let me ask you something. Has Anonymous ever like by a agent? . , i  have  a  dog  and  he  is  my  best  friend ,0.799735439318465,0.9914117336273194,,,,,,,,,
97,Anonymous,I have a dog and he 's my best friend.,Let me ask you something. What types of Instance like dog do Instance usually have . ,y pets? This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. Exciting news! I had never heard about dog before! .  Do you have any pets? Let me ask you something. Has Anonymous ever like by a agent? .  I have a dog and he 's my best friend., let  me  ask  you  something  what  kind  of  pets  and  what  and  you  dogs  have ?  _ ,0.340150968883844,0.602050418362898,,,,,,,,,
98,BLENDERBOT,Let me ask you something. What types of Instance like dog do Instance usually have . ,Do you have any pets?,have a dog and he 's my best friend. Exciting news! I had never heard about dog before! .  Do you have any pets? Let me ask you something. Has Anonymous ever like by a agent? .  I have a dog and he 's my best friend. Let me ask you something. What types of Instance like dog do Instance usually have . , do  you  have  any  pets ,0.798784327507019,0.9907705545425415,,,,,,,,,
99,Anonymous,Do you have any pets?,"I just learned something, I had never heard about pet before! . ",y best friend. Exciting news! I had never heard about dog before! .  Do you have any pets? Let me ask you something. Has Anonymous ever like by a agent? .  I have a dog and he 's my best friend. Let me ask you something. What types of Instance like dog do Instance usually have .  Do you have any pets?,i  just  learned  something  i  had  never  heard  about  dog  before !  _ ,0.5651544278639798,0.7658978138978665,,,,,,,,,
100,BLENDERBOT,"I just learned something, I had never heard about pet before! . ",I have a dog and he 's my best friend.," .  Do you have any pets? Let me ask you something. Has Anonymous ever like by a agent? .  I have a dog and he 's my best friend. Let me ask you something. What types of Instance like dog do Instance usually have .  Do you have any pets? I just learned something, I had never heard about pet before! . ", i  have  a  dog  and  he  is  my  best  friend ,0.800030620850157,0.9845295548439026,,,,,,,,,
101,Anonymous,I have a dog and he 's my best friend.,Let me ask you something. Has blenderbot be ancestor of person? . ,"u something. Has Anonymous ever like by a agent? .  I have a dog and he 's my best friend. Let me ask you something. What types of Instance like dog do Instance usually have .  Do you have any pets? I just learned something, I had never heard about pet before! .  I have a dog and he 's my best friend.", let  me  ask  you . does  dog  been  kind  dog  dog .   ,0.4101900759224708,0.5551827332148185,,,,,,,,,
102,BLENDERBOT,Let me ask you something. Has blenderbot be ancestor of person? . ,Do you have any pets?,"he 's my best friend. Let me ask you something. What types of Instance like dog do Instance usually have .  Do you have any pets? I just learned something, I had never heard about pet before! .  I have a dog and he 's my best friend. Let me ask you something. Has blenderbot be ancestor of person? . ", do  you  have  any  pets ,0.7977631568908692,0.9871684551239014,,,,,,,,,
103,Anonymous,Do you have any pets?,This is news to me. I had never heard about pet before! . ,"Let me ask you something. What types of Instance like dog do Instance usually have .  Do you have any pets? I just learned something, I had never heard about pet before! .  I have a dog and he 's my best friend. Let me ask you something. Has blenderbot be ancestor of person? .  Do you have any pets?", this  is  new  to  me i  had  never  heard  about  pet  before .  _ ,0.6229612092886653,0.775119637804372,,,,,,,,,
104,BLENDERBOT,This is news to me. I had never heard about pet before! . ,I have a dog and he 's my best friend.,"o Instance usually have .  Do you have any pets? I just learned something, I had never heard about pet before! .  I have a dog and he 's my best friend. Let me ask you something. Has blenderbot be ancestor of person? .  Do you have any pets? This is news to me. I had never heard about pet before! . ", i  have  a  dog  and  he  is  my  best  friend ,0.8000146450591273,0.9913089990615844,,,,,,,,,
105,Anonymous,I have a dog and he 's my best friend.,I did not know that! I had never heard about dog before! . ,"any pets? I just learned something, I had never heard about pet before! .  I have a dog and he 's my best friend. Let me ask you something. Has blenderbot be ancestor of person? .  Do you have any pets? This is news to me. I had never heard about pet before! .  I have a dog and he 's my best friend.",i  did  not  know  that i  had  never  heard  about  pet  before .  i ,0.5864198308554478,0.7452926284500531,,,,,,,,,
106,BLENDERBOT,I did not know that! I had never heard about dog before! . ,Do you have any pets?,pet before! .  I have a dog and he 's my best friend. Let me ask you something. Has blenderbot be ancestor of person? .  Do you have any pets? This is news to me. I had never heard about pet before! .  I have a dog and he 's my best friend. I did not know that! I had never heard about dog before! . , do  you  have  any  pets ,0.7977603077888489,0.9890058040618896,,,,,,,,,
107,Anonymous,Do you have any pets?,If you don't mind me asking. What types can Anonymous have . ,a dog and he 's my best friend. Let me ask you something. Has blenderbot be ancestor of person? .  Do you have any pets? This is news to me. I had never heard about pet before! .  I have a dog and he 's my best friend. I did not know that! I had never heard about dog before! .  Do you have any pets?, if  you  would  mind  me .  what  pet  do  you  have ?  _ ,0.32609519760052746,0.6391256336982434,,,,,,,,,
108,BLENDERBOT,If you don't mind me asking. What types can Anonymous have . ,I have a dog and he 's my best friend.,s blenderbot be ancestor of person? .  Do you have any pets? This is news to me. I had never heard about pet before! .  I have a dog and he 's my best friend. I did not know that! I had never heard about dog before! .  Do you have any pets? If you don't mind me asking. What types can Anonymous have . , i  have  a  dog  and  he  is  my  best  friend ,0.798525994992815,0.9931858301162719,,,,,,,,,
109,Anonymous,I have a dog and he 's my best friend.,This is news to me. I am excited to get to know about you! . ,Do you have any pets? This is news to me. I had never heard about pet before! .  I have a dog and he 's my best friend. I did not know that! I had never heard about dog before! .  Do you have any pets? If you don't mind me asking. What types can Anonymous have .  I have a dog and he 's my best friend.,this  is  news  to  me  i  am  excited  to  learn  to  know  more  it !  _ ,0.5630089710466564,0.693152666091919,,,,,,,,,
110,BLENDERBOT,This is news to me. I am excited to get to know about you! . ,Do you have any pets?,out pet before! .  I have a dog and he 's my best friend. I did not know that! I had never heard about dog before! .  Do you have any pets? If you don't mind me asking. What types can Anonymous have .  I have a dog and he 's my best friend. This is news to me. I am excited to get to know about you! . , do  you  have  any  pets ,0.7950124382972718,0.9718711018562317,,,,,,,,,
111,Anonymous,Do you have any pets?,This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 . ,ave a dog and he 's my best friend. I did not know that! I had never heard about dog before! .  Do you have any pets? If you don't mind me asking. What types can Anonymous have .  I have a dog and he 's my best friend. This is news to me. I am excited to get to know about you! .  Do you have any pets?, this  sounds  like they  told  me  about  it .  aug  at s .   ,0.32394025155476164,0.42545012943446636,,,,,,,,,
112,BLENDERBOT,This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 . ,I have a dog and he 's my best friend.,bout dog before! .  Do you have any pets? If you don't mind me asking. What types can Anonymous have .  I have a dog and he 's my best friend. This is news to me. I am excited to get to know about you! .  Do you have any pets? This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 . , i  have  a  dog  and  he  is  my  best  friend ,0.7995975087687839,0.9932690143585206,,,,,,,,,
113,Anonymous,I have a dog and he 's my best friend.,I would like to know. What types of Instance like dog do Instance usually have . ,s? If you don't mind me asking. What types can Anonymous have .  I have a dog and he 's my best friend. This is news to me. I am excited to get to know about you! .  Do you have any pets? This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend.,i  would  like  to  know what  types  of  cat  which  what  and  you  dogs  have ?  _ ,0.38825098227928667,0.6262449446846458,,,,,,,,,
114,BLENDERBOT,I would like to know. What types of Instance like dog do Instance usually have . ,Do you have any pets?, 's my best friend. This is news to me. I am excited to get to know about you! .  Do you have any pets? This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. I would like to know. What types of Instance like dog do Instance usually have . , do  you  have  any  pets ,0.7990969300270081,0.9929444074630738,,,,,,,,,
115,Anonymous,Do you have any pets?,I would like to know. What types of Instance like pet do Instance usually have . ,is is news to me. I am excited to get to know about you! .  Do you have any pets? This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. I would like to know. What types of Instance like dog do Instance usually have .  Do you have any pets?, i  would  like  to  know  what  types  of  Inst  like  dog  do  you  usually  have .   ,0.7462317947993811,0.9076808585840113,,,,,,,,,
116,BLENDERBOT,I would like to know. What types of Instance like pet do Instance usually have . ,I have a dog and he 's my best friend.,This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. I would like to know. What types of Instance like dog do Instance usually have .  Do you have any pets? I would like to know. What types of Instance like pet do Instance usually have . , i  have  a  dog  and  he  is  my  best  friend ,0.8005501105915755,0.962772649526596,,,,,,,,,
117,Anonymous,I have a dog and he 's my best friend.,That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 . ,e about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. I would like to know. What types of Instance like dog do Instance usually have .  Do you have any pets? I would like to know. What types of Instance like pet do Instance usually have .  I have a dog and he 's my best friend., that  rings  a  bell they  asked  me  about  it  in  2022  05  03 .   ,0.6647010644276937,0.8287052134672801,,,,,,,,,
118,BLENDERBOT,That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 . ,Do you have any pets?,d. I would like to know. What types of Instance like dog do Instance usually have .  Do you have any pets? I would like to know. What types of Instance like pet do Instance usually have .  I have a dog and he 's my best friend. That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 . , do  you  have  any  pets ,0.7986357688903809,0.9957710266113281,,,,,,,,,
119,Anonymous,Do you have any pets?,I would like to know. Has Anonymous live in location? . ,w. What types of Instance like dog do Instance usually have .  Do you have any pets? I would like to know. What types of Instance like pet do Instance usually have .  I have a dog and he 's my best friend. That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 .  Do you have any pets?, i  would  like  to  know  does  he  been  in  it    _ ,0.3695171494813015,0.5508814106384913,,,,,,,,,
120,BLENDERBOT,I would like to know. Has Anonymous live in location? . ,I have a dog and he 's my best friend.,have .  Do you have any pets? I would like to know. What types of Instance like pet do Instance usually have .  I have a dog and he 's my best friend. That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 .  Do you have any pets? I would like to know. Has Anonymous live in location? . , i  have  a  dog  and  he  is  my  best  friend ,0.7999697973777075,0.9869558095932007,,,,,,,,,
121,Anonymous,I have a dog and he 's my best friend.,I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 . ,ike to know. What types of Instance like pet do Instance usually have .  I have a dog and he 's my best friend. That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 .  Do you have any pets? I would like to know. Has Anonymous live in location? .  I have a dog and he 's my best friend.,i  have  heard  that . bot  told  me  about  it  in  2022  05  03 .   ,0.6742600807920098,0.8765577934682369,,,,,,,,,
122,BLENDERBOT,I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 . ,Do you have any pets?,a dog and he 's my best friend. That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 .  Do you have any pets? I would like to know. Has Anonymous live in location? .  I have a dog and he 's my best friend. I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 . , do  you  have  any  pets ,0.797843623161316,0.9972669839859009,,,,,,,,,
123,Anonymous,Do you have any pets?,I know. blenderbot told me about it in 2022 05 03T00:00:00 . ,t friend. That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 .  Do you have any pets? I would like to know. Has Anonymous live in location? .  I have a dog and he 's my best friend. I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 .  Do you have any pets?, i  think db  told  me  about  it  in  2022  05  03 .   ,0.7297150630217332,0.836055419765986,,,,,,,,,
124,BLENDERBOT,I know. blenderbot told me about it in 2022 05 03T00:00:00 . ,I have a dog and he 's my best friend.,22 05 03T00:00:00 .  Do you have any pets? I would like to know. Has Anonymous live in location? .  I have a dog and he 's my best friend. I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 .  Do you have any pets? I know. blenderbot told me about it in 2022 05 03T00:00:00 . , i  have  a  dog  and  he  is  my  best  friend ,0.8002299987478182,0.981407356262207,,,,,,,,,
125,Anonymous,I have a dog and he 's my best friend.,I am curious. What types of Instance like dog do Instance usually have . ,ts? I would like to know. Has Anonymous live in location? .  I have a dog and he 's my best friend. I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 .  Do you have any pets? I know. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend.,i  am  wondering what  kind  of  pets ?  what  and  you  dogs  have ?  _ ,0.27244191070397694,0.5772517750660578,,,,,,,,,
126,BLENDERBOT,I am curious. What types of Instance like dog do Instance usually have . ,Do you have any pets?,d he 's my best friend. I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 .  Do you have any pets? I know. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. I am curious. What types of Instance like dog do Instance usually have . , do  you  have  any  pets ,0.7978433966636658,0.9921378850936889,,,,,,,,,
127,Anonymous,Do you have any pets?,Interesting! I had never heard about pet before! . ,. I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 .  Do you have any pets? I know. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. I am curious. What types of Instance like dog do Instance usually have .  Do you have any pets?,  i  have  never  thought  of  that  dogs    _ ,0.17922879266552627,0.4724794037640095,,,,,,,,,
128,BLENDERBOT,Interesting! I had never heard about pet before! . ,I have a dog and he 's my best friend., it in 2022 05 03T00:00:00 .  Do you have any pets? I know. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. I am curious. What types of Instance like dog do Instance usually have .  Do you have any pets? Interesting! I had never heard about pet before! . , i  have  a  dog  and  he  is  my  best  friend ,0.8000737516500521,0.9923524081707,,,,,,,,,
129,Anonymous,I have a dog and he 's my best friend.,"I just learned something, I had never heard about dog before! . ",ve any pets? I know. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. I am curious. What types of Instance like dog do Instance usually have .  Do you have any pets? Interesting! I had never heard about pet before! .  I have a dog and he 's my best friend.,i  just  learned  that  i  had  never  heard  about  pet  before .  i ,0.5844885636694156,0.7879272962992008,,,,,,,,,
130,BLENDERBOT,"I just learned something, I had never heard about dog before! . ",Do you have any pets?,":00:00 .  I have a dog and he 's my best friend. I am curious. What types of Instance like dog do Instance usually have .  Do you have any pets? Interesting! I had never heard about pet before! .  I have a dog and he 's my best friend. I just learned something, I had never heard about dog before! . ", do  you  have  any  pets ,0.7988256812095642,0.994382631778717,,,,,,,,,
131,Anonymous,Do you have any pets?,I am curious. What types can Anonymous have . ," and he 's my best friend. I am curious. What types of Instance like dog do Instance usually have .  Do you have any pets? Interesting! I had never heard about pet before! .  I have a dog and he 's my best friend. I just learned something, I had never heard about dog before! .  Do you have any pets?", i  am  curious  what  types  of  dog  have ?   ,0.47687068342929706,0.7914667397737503,,,,,,,,,
132,BLENDERBOT,I am curious. What types can Anonymous have . ,I have a dog and he 's my best friend.," types of Instance like dog do Instance usually have .  Do you have any pets? Interesting! I had never heard about pet before! .  I have a dog and he 's my best friend. I just learned something, I had never heard about dog before! .  Do you have any pets? I am curious. What types can Anonymous have . ", i  have  a  dog  and  he  is  my  best  friend ,0.800134558940772,0.9893946647644043,,,,,,,,,
133,Anonymous,I have a dog and he 's my best friend.,I know. blenderbot told me about it in 2022 05 03T00:00:00 . ," usually have .  Do you have any pets? Interesting! I had never heard about pet before! .  I have a dog and he 's my best friend. I just learned something, I had never heard about dog before! .  Do you have any pets? I am curious. What types can Anonymous have .  I have a dog and he 's my best friend.",i  think they  told  me  about  it  on  aug  - 20 . e ,0.2911432563112332,0.40761574472372347,,,,,,,,,
134,BLENDERBOT,I know. blenderbot told me about it in 2022 05 03T00:00:00 . ,Do you have any pets?,"r heard about pet before! .  I have a dog and he 's my best friend. I just learned something, I had never heard about dog before! .  Do you have any pets? I am curious. What types can Anonymous have .  I have a dog and he 's my best friend. I know. blenderbot told me about it in 2022 05 03T00:00:00 . ", do  you  have  any  pets ,0.7950424909591675,0.9795780897140502,,,,,,,,,
135,Anonymous,Do you have any pets?,Exciting news! I had never heard about I before! . ,"re! .  I have a dog and he 's my best friend. I just learned something, I had never heard about dog before! .  Do you have any pets? I am curious. What types can Anonymous have .  I have a dog and he 's my best friend. I know. blenderbot told me about it in 2022 05 03T00:00:00 .  Do you have any pets?",good ! i  had  never  heard  about  dog  before .  _ ,0.4461200481111353,0.64849991960959,,,,,,,,,
136,BLENDERBOT,Exciting news! I had never heard about I before! . ,I have a dog and he 's my best friend.," learned something, I had never heard about dog before! .  Do you have any pets? I am curious. What types can Anonymous have .  I have a dog and he 's my best friend. I know. blenderbot told me about it in 2022 05 03T00:00:00 .  Do you have any pets? Exciting news! I had never heard about I before! . ", i  have  a  dog  and  he  is  my  best  friend ,0.7998108748637606,0.995528244972229,,,,,,,,,
137,Anonymous,I have a dog and he 's my best friend.,I am curious. Has blenderbot live in location? . ,bout dog before! .  Do you have any pets? I am curious. What types can Anonymous have .  I have a dog and he 's my best friend. I know. blenderbot told me about it in 2022 05 03T00:00:00 .  Do you have any pets? Exciting news! I had never heard about I before! .  I have a dog and he 's my best friend.,i  am  wondering does  he  been  in  dc    _ ,0.2443346031010151,0.4884419247508049,,,,,,,,,
138,BLENDERBOT,I am curious. Has blenderbot live in location? . ,Do you have any pets?,ious. What types can Anonymous have .  I have a dog and he 's my best friend. I know. blenderbot told me about it in 2022 05 03T00:00:00 .  Do you have any pets? Exciting news! I had never heard about I before! .  I have a dog and he 's my best friend. I am curious. Has blenderbot live in location? . , do  you  have  any  pets ,0.7961231231689453,0.9838969707489014,,,,,,,,,
139,Anonymous,Do you have any pets?,If you don't mind me asking. Has Anonymous ever read by a book? . ,eolani have .  I have a dog and he 's my best friend. I know. blenderbot told me about it in 2022 05 03T00:00:00 .  Do you have any pets? Exciting news! I had never heard about I before! .  I have a dog and he 's my best friend. I am curious. Has blenderbot live in location? .  Do you have any pets?," if  you  would  mind  me ,  has  she  have  stopped  from  a  dog .   ",0.3034019112276534,0.5297195831934611,,,,,,,,,
140,BLENDERBOT,If you don't mind me asking. Has Anonymous ever read by a book? . ,I have a dog and he 's my best friend.,nderbot told me about it in 2022 05 03T00:00:00 .  Do you have any pets? Exciting news! I had never heard about I before! .  I have a dog and he 's my best friend. I am curious. Has blenderbot live in location? .  Do you have any pets? If you don't mind me asking. Has Anonymous ever read by a book? . , i  have  a  dog  and  he  is  my  best  friend ,0.7998144532612059,0.9935944437980652,,,,,,,,,
141,Anonymous,I have a dog and he 's my best friend.,,00:00:00 .  Do you have any pets? Exciting news! I had never heard about I before! .  I have a dog and he 's my best friend. I am curious. Has blenderbot live in location? .  Do you have any pets? If you don't mind me asking. Has Anonymous ever read by a book? .  I have a dog and he 's my best friend., _ ,0.05315261706709862,0.24381884932518005,,,,,,,,,
142,Anonymous,,"Tell me anything, I love learning things",0:00:00 .  Do you have any pets? Exciting news! I had never heard about I before! .  I have a dog and he 's my best friend. I am curious. Has blenderbot live in location? .  Do you have any pets? If you don't mind me asking. Has Anonymous ever read by a book? .  I have a dog and he 's my best friend. , tell  read .  i  love  reading . ,0.3264420796185732,0.4543658643960953,,,,,,,,,
143,BLENDERBOT,"Tell me anything, I love learning things",Well," news! I had never heard about I before! .  I have a dog and he 's my best friend. I am curious. Has blenderbot live in location? .  Do you have any pets? If you don't mind me asking. Has Anonymous ever read by a book? .  I have a dog and he 's my best friend.  Tell me anything, I love learning things",. ,0.0,0.31802770495414734,,,,,,,,,
144,Anonymous,Well,"Tell me anything, I love learning things","! I had never heard about I before! .  I have a dog and he 's my best friend. I am curious. Has blenderbot live in location? .  Do you have any pets? If you don't mind me asking. Has Anonymous ever read by a book? .  I have a dog and he 's my best friend.  Tell me anything, I love learning things Well", tell  me  anything  i  love  learning  things ,0.855437627860478,0.9948984895433698,,,,,,,,,
145,BLENDERBOT,"Tell me anything, I love learning things",Well I 'm a big fan of learning new things as well.,"have a dog and he 's my best friend. I am curious. Has blenderbot live in location? .  Do you have any pets? If you don't mind me asking. Has Anonymous ever read by a book? .  I have a dog and he 's my best friend.  Tell me anything, I love learning things Well Tell me anything, I love learning things",.  i  am  a  big  fan  of  learning  new  things  as  well ,0.6597072935983306,0.8608393569787344,,,,,,,,,
146,Anonymous,Well I 'm a big fan of learning new things as well.,,"as blenderbot live in location? .  Do you have any pets? If you don't mind me asking. Has Anonymous ever read by a book? .  I have a dog and he 's my best friend.  Tell me anything, I love learning things Well Tell me anything, I love learning things Well I 'm a big fan of learning new things as well.",  ,0.36535555124282837,0.36535555124282837,,,,,,,,,
147,BLENDERBOT,,What is your favorite thing to learn?,"s blenderbot live in location? .  Do you have any pets? If you don't mind me asking. Has Anonymous ever read by a book? .  I have a dog and he 's my best friend.  Tell me anything, I love learning things Well Tell me anything, I love learning things Well I 'm a big fan of learning new things as well. ", what  is  your  favorite  thing  to  do ,0.7442760041781834,0.86355779000691,,,,,,,,,
148,Anonymous,What is your favorite thing to learn?,,"ou have any pets? If you don't mind me asking. Has Anonymous ever read by a book? .  I have a dog and he 's my best friend.  Tell me anything, I love learning things Well Tell me anything, I love learning things Well I 'm a big fan of learning new things as well.  What is your favorite thing to learn?",. ,0.03317846730351448,0.3018783926963806,,,,,,,,,
