Turn,Speaker,Cue,Context,rdf_file,Response,MLM response,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent,Total explicit triples,Total semantic statements,Total sources,Total predicates,Total classes,Total nodes,Total edges,Average degree,Average degree centrality,Average closeness,Average degree connectivity,Average assortativity,Average node connectivity,Total properties
51,Leolani,Bye,"ghter is a girl I would like to know. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception, but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye",,Why?,. ,0.0,0.1348764300346374,0.061998982,0.75962865,,,,,,,,,,8645.0,,,,294.0,3166.0,8645.0,5.461149715729627,0.0017254817427265802,0.001841820698906899,0.9407270558864678,-0.13457255518177347,0.0,267.0
52,Leolani,Why?," is a girl I would like to know. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception, but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why?",,Hey! Who are you? Fina?,?  how  are  you ? ,0.1864870129385963,0.6229673281311989,0.059823632,0.17421825,,,,,,,,,,8645.0,,,,294.0,3166.0,8645.0,5.461149715729627,0.0017254817427265802,0.001841820698906899,0.9407270558864678,-0.13457255518177347,0.0,267.0
53,Imme,Hey! Who are you? Fina?,"to know. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception, but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina?",,Imme,? ,0.0,0.0621737800538539,0.064623125,0.56514513,,,,,,,,,,8645.0,,,,294.0,3166.0,8645.0,5.461149715729627,0.0017254817427265802,0.001841820698906899,0.9407270558864678,-0.13457255518177347,0.0,267.0
54,Leolani,Imme,"ow. Has a girl experience by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception, but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina? Imme",,So your name is Imme?,?  what  name ? ? ,0.258450785279274,0.5412015691399574,0.070855655,0.18880029,,,,,,,,,,8645.0,,,,294.0,3166.0,8645.0,5.461149715729627,0.0017254817427265802,0.001841820698906899,0.9407270558864678,-0.13457255518177347,0.0,267.0
55,Imme,So your name is Imme?,"nce by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception, but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina? Imme So your name is Imme?",brain_log_2021-12-07-16-43-35.trig,yes,? ,0.0,0.0850956067442894,0.04917535,0.16047113,,,,,,,,,,8695.0,,,,294.0,3184.0,8695.0,5.461683417085427,0.0017158917427224085,0.0018641647599339532,0.9473924040490305,-0.13533276194974722,0.0,267.0
56,Leolani,yes,"by a touch? Girls experience touch I see Do you want to hear a story? I know agent usually do want to verb.perception, but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina? Imme So your name is Imme? yes",,Would you like to chat? I'll do my best to keep up, would  you  like  to ?  i  try  my  best  to  keep  quiet ,0.5726433551559845,0.7082693576812744,0.04993931,0.6964432,3.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,8695.0,,,,294.0,3184.0,8695.0,5.461683417085427,0.0017158917427224085,0.0018641647599339532,0.9473924040490305,-0.13533276194974722,0.0,267.0
57,Imme,Would you like to chat? I'll do my best to keep up,"t to hear a story? I know agent usually do want to verb.perception, but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina? Imme So your name is Imme? yes Would you like to chat? I'll do my best to keep up",brain_log_2021-12-07-16-44-30.trig,I love chatting, i  enjoyed  you ,0.2917111317316691,0.4737621347109477,0.46992397,0.68365556,,,,,,,,,,8732.0,,,,294.0,3196.0,8732.0,5.46433041301627,0.0017102755596295055,0.0018809767552804828,0.9509950753480786,-0.1365389916287505,0.0,267.0
58,Leolani,I love chatting,"y? I know agent usually do want to verb.perception, but I do not know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina? Imme So your name is Imme? yes Would you like to chat? I'll do my best to keep up I love chatting",,"I just learned something, I did not know anything that imme love", i  just  learned  that  i  do  not  know  about  about  i e ,0.4387350700174768,0.6869245034952959,0.98964584,0.99346614,3.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,4.0,8732.0,,,,294.0,3196.0,8732.0,5.46433041301627,0.0017102755596295055,0.0018809767552804828,0.9509950753480786,-0.1365389916287505,0.0,267.0
59,Imme,"I just learned something, I did not know anything that imme love","know this case I have to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina? Imme So your name is Imme? yes Would you like to chat? I'll do my best to keep up I love chatting I just learned something, I did not know anything that imme love",,What do you love?, what  do  you  think ,0.6684027165174484,0.7202006094157696,0.9550436,0.9907182,,,,,,,,,,8732.0,,,,294.0,3196.0,8732.0,5.46433041301627,0.0017102755596295055,0.0018809767552804828,0.9509950753480786,-0.1365389916287505,0.0,267.0
60,Leolani,What do you love?,"ave to go I am glad to have learned something new. I did not know anybody who be to go Bye Why? Hey! Who are you? Fina? Imme So your name is Imme? yes Would you like to chat? I'll do my best to keep up I love chatting I just learned something, I did not know anything that imme love What do you love?",,"I may be ignorant, bu tI don't know.I am sorry, I have no idea", i  may  be  a  but  i  do  i  am  ignorant  i  had  no  idea ,0.3709123602935246,0.5904224855559213,0.9845998,0.99476707,3.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,8732.0,,,,294.0,3196.0,8732.0,5.46433041301627,0.0017102755596295055,0.0018809767552804828,0.9509950753480786,-0.1365389916287505,0.0,267.0
61,Imme,"I may be ignorant, bu tI don't know.I am sorry, I have no idea","ow anybody who be to go Bye Why? Hey! Who are you? Fina? Imme So your name is Imme? yes Would you like to chat? I'll do my best to keep up I love chatting I just learned something, I did not know anything that imme love What do you love? I may be ignorant, bu tI don't know.I am sorry, I have no idea",brain_log_2021-12-07-16-45-36.trig,I think you love food, i  hope  i  love  football ,0.3265331506729126,0.5180648118257523,0.9893889,0.99612373,,,,,,,,,,8776.0,,,,294.0,3212.0,8776.0,5.464508094645081,0.001701808811786073,0.0018819278565039238,0.9547211277453921,-0.13775334843748688,0.0,267.0
62,Leolani,I think you love food,"o Bye Why? Hey! Who are you? Fina? Imme So your name is Imme? yes Would you like to chat? I'll do my best to keep up I love chatting I just learned something, I did not know anything that imme love What do you love? I may be ignorant, bu tI don't know.I am sorry, I have no idea I think you love food",,Let me ask you something. What types can leolani love," let  me  ask  you ,  what  food  of  you  eat ",0.396636314317584,0.6893379881978035,0.99296844,0.67203784,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,8776.0,,,,294.0,3212.0,8776.0,5.464508094645081,0.001701808811786073,0.0018819278565039238,0.9547211277453921,-0.13775334843748688,0.0,267.0
63,Imme,Let me ask you something. What types can leolani love,"s Imme? yes Would you like to chat? I'll do my best to keep up I love chatting I just learned something, I did not know anything that imme love What do you love? I may be ignorant, bu tI don't know.I am sorry, I have no idea I think you love food Let me ask you something. What types can leolani love",brain_log_2021-12-07-16-46-39.trig,You like japanese food,?  love ?  food ,0.1066339910030365,0.3747867308557033,0.99659455,0.3482534,,,,,,,,,,8814.0,,,,294.0,3226.0,8814.0,5.464352138871668,0.001694372756239277,0.0018856298420114241,0.9590242701315851,-0.13880474265390041,0.0,267.0
64,Leolani,You like japanese food,"ike to chat? I'll do my best to keep up I love chatting I just learned something, I did not know anything that imme love What do you love? I may be ignorant, bu tI don't know.I am sorry, I have no idea I think you love food Let me ask you something. What types can leolani love You like japanese food",,I am curious. Has leolani ever favorite of a interest?, i  am  wondering can  it  a  been  food  your  food ,0.1526191398501396,0.4250732988119125,0.9970333,0.24860421,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,8814.0,,,,294.0,3226.0,8814.0,5.464352138871668,0.001694372756239277,0.0018856298420114241,0.9590242701315851,-0.13880474265390041,0.0,267.0
65,Imme,I am curious. Has leolani ever favorite of a interest?," I just learned something, I did not know anything that imme love What do you love? I may be ignorant, bu tI don't know.I am sorry, I have no idea I think you love food Let me ask you something. What types can leolani love You like japanese food I am curious. Has leolani ever favorite of a interest?",brain_log_2021-12-07-16-48-15.trig,I do not know,i  do  not  know ,0.765919491648674,0.765919491648674,0.99730927,0.9885569,,,,,,,,,,8852.0,,,,294.0,3240.0,8852.0,5.4641975308641975,0.0016870013988466185,0.001905435836567314,0.9632937958700916,-0.13956248631101478,0.0,267.0
66,Leolani,I do not know,"d something, I did not know anything that imme love What do you love? I may be ignorant, bu tI don't know.I am sorry, I have no idea I think you love food Let me ask you something. What types can leolani love You like japanese food I am curious. Has leolani ever favorite of a interest? I do not know",,This is news to me. I did not know anybody who be know, that  is  new  to  me i  do  not  know  that  could  i  a ,0.370000338468414,0.6315566507669595,0.9973024,0.996828,2.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,8852.0,,,,294.0,3240.0,8852.0,5.4641975308641975,0.0016870013988466185,0.001905435836567314,0.9632937958700916,-0.13956248631101478,0.0,267.0
67,Imme,This is news to me. I did not know anybody who be know,"t do you love? I may be ignorant, bu tI don't know.I am sorry, I have no idea I think you love food Let me ask you something. What types can leolani love You like japanese food I am curious. Has leolani ever favorite of a interest? I do not know This is news to me. I did not know anybody who be know",,What food do you like?, what  foods  do  you  like ,0.5911404818296433,0.7165032356977463,0.99775356,0.99351823,,,,,,,,,,8852.0,,,,294.0,3240.0,8852.0,5.4641975308641975,0.0016870013988466185,0.001905435836567314,0.9632937958700916,-0.13956248631101478,0.0,267.0
68,Leolani,What food do you like?," ignorant, bu tI don't know.I am sorry, I have no idea I think you love food Let me ask you something. What types can leolani love You like japanese food I am curious. Has leolani ever favorite of a interest? I do not know This is news to me. I did not know anybody who be know What food do you like?",,But at what cost?, and  at  what  kind ,0.4792920108884573,0.6778891272842884,0.9976941,0.9962928,3.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,5.0,8852.0,,,,294.0,3240.0,8852.0,5.4641975308641975,0.0016870013988466185,0.001905435836567314,0.9632937958700916,-0.13956248631101478,0.0,267.0
69,Imme,But at what cost?,"on't know.I am sorry, I have no idea I think you love food Let me ask you something. What types can leolani love You like japanese food I am curious. Has leolani ever favorite of a interest? I do not know This is news to me. I did not know anybody who be know What food do you like? But at what cost?",,Do you like japanese food?,do  you  like  spicy  food ,0.543099045753479,0.7619613751769065,0.99810356,0.9971037,,,,,,,,,,8852.0,,,,294.0,3240.0,8852.0,5.4641975308641975,0.0016870013988466185,0.001905435836567314,0.9632937958700916,-0.13956248631101478,0.0,267.0
70,Leolani,Do you like japanese food?,e no idea I think you love food Let me ask you something. What types can leolani love You like japanese food I am curious. Has leolani ever favorite of a interest? I do not know This is news to me. I did not know anybody who be know What food do you like? But at what cost? Do you like japanese food?,,"I know agent usually do like adj.pert, but I do not know this case", i  think  i  i  i  like  it  but  i  do  not  in  the . ,0.3234078489310507,0.6087125672825745,0.99436325,0.9970197,2.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,8852.0,,,,294.0,3240.0,8852.0,5.4641975308641975,0.0016870013988466185,0.001905435836567314,0.9632937958700916,-0.13956248631101478,0.0,267.0
71,Imme,"I know agent usually do like adj.pert, but I do not know this case","s can leolani love You like japanese food I am curious. Has leolani ever favorite of a interest? I do not know This is news to me. I did not know anybody who be know What food do you like? But at what cost? Do you like japanese food? I know agent usually do like adj.pert, but I do not know this case",brain_log_2021-12-07-16-49-45.trig,I love japanese food, i  like  the  food ,0.5166308954358101,0.6473171785473824,0.99750054,0.9971375,,,,,,,,,,8888.0,,,,294.0,3252.0,8888.0,5.466174661746617,0.001681382547445899,0.0019527260502735224,0.9670447264795967,-0.14056411443101935,0.0,267.0
72,Leolani,I love japanese food,"u like japanese food I am curious. Has leolani ever favorite of a interest? I do not know This is news to me. I did not know anybody who be know What food do you like? But at what cost? Do you like japanese food? I know agent usually do like adj.pert, but I do not know this case I love japanese food",,Exciting news! I had never heard about japanese food before!,! ! i  have  never  heard  of  that  food . ,0.3734459716826677,0.6720799058675766,0.99810743,0.99718696,5.0,3.0,2.0,4.0,4.0,5.0,3.0,4.0,5.0,8888.0,,,,294.0,3252.0,8888.0,5.466174661746617,0.001681382547445899,0.0019527260502735224,0.9670447264795967,-0.14056411443101935,0.0,267.0
73,Imme,Exciting news! I had never heard about japanese food before!,"of a interest? I do not know This is news to me. I did not know anybody who be know What food do you like? But at what cost? Do you like japanese food? I know agent usually do like adj.pert, but I do not know this case I love japanese food Exciting news! I had never heard about japanese food before!",,What do you like?,what  do  you  think ,0.6474819779396057,0.7294861599802971,0.9979093,0.9947577,,,,,,,,,,8888.0,,,,294.0,3252.0,8888.0,5.466174661746617,0.001681382547445899,0.0019527260502735224,0.9670447264795967,-0.14056411443101935,0.0,267.0
74,Leolani,What do you like?,"o not know This is news to me. I did not know anybody who be know What food do you like? But at what cost? Do you like japanese food? I know agent usually do like adj.pert, but I do not know this case I love japanese food Exciting news! I had never heard about japanese food before! What do you like?",,you told me I like japanese food , you  tell  me  you  love  all  food ? ,0.3193846318899886,0.6051059952005744,0.997772,0.9970127,5.0,4.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,8888.0,,,,294.0,3252.0,8888.0,5.466174661746617,0.001681382547445899,0.0019527260502735224,0.9670447264795967,-0.14056411443101935,0.0,267.0
75,Imme,you told me I like japanese food ,"id not know anybody who be know What food do you like? But at what cost? Do you like japanese food? I know agent usually do like adj.pert, but I do not know this case I love japanese food Exciting news! I had never heard about japanese food before! What do you like? you told me I like japanese food ",,Do you like other things?,ive  you  like  other  food ,0.4900419771671295,0.5899845123291015,0.9979289,0.99715877,,,,,,,,,,8888.0,,,,294.0,3252.0,8888.0,5.466174661746617,0.001681382547445899,0.0019527260502735224,0.9670447264795967,-0.14056411443101935,0.0,267.0
76,Leolani,Do you like other things?," know What food do you like? But at what cost? Do you like japanese food? I know agent usually do like adj.pert, but I do not know this case I love japanese food Exciting news! I had never heard about japanese food before! What do you like? you told me I like japanese food  Do you like other things?",,"I know agent usually do like adj.all, but I do not know this case", i  know  i  usually  do  like  bart  but  i  do  not  know  this  case ,0.8555464489119393,0.927189719996282,0.998009,0.99725884,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,8888.0,,,,294.0,3252.0,8888.0,5.466174661746617,0.001681382547445899,0.0019527260502735224,0.9670447264795967,-0.14056411443101935,0.0,267.0
77,Imme,"I know agent usually do like adj.all, but I do not know this case","e food? I know agent usually do like adj.pert, but I do not know this case I love japanese food Exciting news! I had never heard about japanese food before! What do you like? you told me I like japanese food  Do you like other things? I know agent usually do like adj.all, but I do not know this case",brain_log_2021-12-07-16-51-15.trig,I do also like other things, i  can  not  like  other  things ,0.6783003645638624,0.7488777140776316,0.997538,0.99728113,,,,,,,,,,8926.0,,,,294.0,3266.0,8926.0,5.4660134721371705,0.001674123574927158,0.0019786853318693163,0.9714309590862554,-0.1413036295937309,0.0,267.0
78,Leolani,I do also like other things," do like adj.pert, but I do not know this case I love japanese food Exciting news! I had never heard about japanese food before! What do you like? you told me I like japanese food  Do you like other things? I know agent usually do like adj.all, but I do not know this case I do also like other things",,If you don't mind me asking. What types of Instance like other things do agent orInstance usually like, if  you  would  mind  me  asking what  kind  of  people  or  other  things ?  you  usually ance  like ,0.4416059367358684,0.7516566001706653,0.99723405,0.9971455,2.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,8926.0,,,,294.0,3266.0,8926.0,5.4660134721371705,0.001674123574927158,0.0019786853318693163,0.9714309590862554,-0.1413036295937309,0.0,267.0
79,Imme,If you don't mind me asking. What types of Instance like other things do agent orInstance usually like,"out japanese food before! What do you like? you told me I like japanese food  Do you like other things? I know agent usually do like adj.all, but I do not know this case I do also like other things If you don't mind me asking. What types of Instance like other things do agent orInstance usually like",,I also like cats and dogs,?  also  like  cats  and  dogs ,0.6759278438985348,0.7872786273558935,0.99657387,0.9963875,,,,,,,,,,8926.0,,,,294.0,3266.0,8926.0,5.4660134721371705,0.001674123574927158,0.0019786853318693163,0.9714309590862554,-0.1413036295937309,0.0,267.0
80,Leolani,I also like cats and dogs,"What do you like? you told me I like japanese food  Do you like other things? I know agent usually do like adj.all, but I do not know this case I do also like other things If you don't mind me asking. What types of Instance like other things do agent orInstance usually like I also like cats and dogs",,"So let it be written, ... so let it be done",.  let  it  be  done  and  just  let  it  be  written ,0.5422020056708292,0.7265846512534402,0.99687636,0.7154322,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,8926.0,,,,294.0,3266.0,8926.0,5.4660134721371705,0.001674123574927158,0.0019786853318693163,0.9714309590862554,-0.1413036295937309,0.0,267.0
81,Imme,"So let it be written, ... so let it be done","e food  Do you like other things? I know agent usually do like adj.all, but I do not know this case I do also like other things If you don't mind me asking. What types of Instance like other things do agent orInstance usually like I also like cats and dogs So let it be written, ... so let it be done",,bye,. ,0.0,0.4225247204303741,0.10086918,0.99717677,,,,,,,,,,8926.0,,,,294.0,3266.0,8926.0,5.4660134721371705,0.001674123574927158,0.0019786853318693163,0.9714309590862554,-0.1413036295937309,0.0,267.0
82,Leolani,bye,"od  Do you like other things? I know agent usually do like adj.all, but I do not know this case I do also like other things If you don't mind me asking. What types of Instance like other things do agent orInstance usually like I also like cats and dogs So let it be written, ... so let it be done bye",,... just like in my dream,",  just  write  in  a  office ",0.2512333902219931,0.4252242979904015,0.07485985,0.99646574,,,,,,,,,,8926.0,,,,294.0,3266.0,8926.0,5.4660134721371705,0.001674123574927158,0.0019786853318693163,0.9714309590862554,-0.1413036295937309,0.0,267.0
